Brooklyn Rolling Sales File.  All Sales From  September 2016 - August 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 09/11/17  Coop Sales File as of 09/08/17.,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/19/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6424,54, ,B2,190 BAY 7TH, ,11228,2,0,2," 1,933 "," 2,048 ",1935,1,B2," 999,000 ",9/19/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6425,50, ,B1,186 BAY 8TH   STREET, ,11228,2,0,2," 2,900 "," 2,360 ",1930,1,B1, -   ,3/23/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6429,6, ,B3,243 BAY 11 STREET, ,11228,2,0,2," 1,534 "," 1,456 ",1935,1,B3, -   ,12/9/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6429,13, ,B1,229 BAY 11TH STREET, ,11228,2,0,2," 1,983 "," 2,200 ",1935,1,B1," 1,170,000 ",12/23/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6430,28, ,B9,8793 16 AVENUE, ,11214,2,0,2," 2,153 "," 2,614 ",1965,1,B9," 1,300,000 ",10/17/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6431,46, ,S2,1644 BATH AVENUE, ,11214,2,1,3," 2,500 "," 4,824 ",1910,1,S2," 1,000,000 ",11/21/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,8, ,B1,1659 CROPSEY AVENUE, ,11214,2,0,2," 1,916 "," 1,762 ",1960,1,B1, -   ,3/28/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,9, ,B1,1657 CROPSEY AVENUE, ,11214,2,0,2," 1,916 "," 1,762 ",1960,1,B1," 1,135,000 ",2/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,18, ,B9,211 BAY 14TH   STREET, ,11214,2,0,2," 2,268 "," 1,668 ",1950,1,B9, -   ,8/8/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,138, ,S2,1660 BATH AVENUE, ,11214,2,1,3," 1,883 "," 3,960 ",1925,1,S2, -   ,3/30/17
